Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.7023,True,0.7692,0.0000,0.2308,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.7368,True,0.6667,0.0000,0.3333,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",1.3752,True,0.6765,0.0000,0.3235,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",1.7051,True,0.7838,0.0000,0.2162,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",1.5949,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",1.5685,True,0.8182,0.0000,0.1818,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.3369,True,0.6842,0.0000,0.3158,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.4339,True,0.6579,0.0000,0.3421,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.3590,True,0.7000,0.0000,0.3000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.8674,True,0.9091,0.0000,0.0909,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",0.7746,True,0.6786,0.0000,0.3214,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",0.8320,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",0.8525,True,0.8077,0.0000,0.1923,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",0.7631,True,0.7941,0.0000,0.2059,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.0258,True,0.9091,0.0000,0.0909,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",2.7514,True,0.8333,0.0000,0.1667,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",2.6161,True,0.7143,0.0000,0.2857,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 2, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\large_graph_large_d162e702'}",3.0319,True,0.7692,0.0000,0.2308,80,250,No improvement threshold reached
